id,name,dq_check,error_message
1,Tomek,1,DQ check passed
2,Marcin,1,DQ check passed
3,Katarzyna,1,DQ check passed
4,Marta,1,DQ check passed
5,Marcin,1,DQ check passed
6,Martyna,1,DQ check passed
7,Kasia,1,DQ check passed
8,przemek,1,DQ check passed
9,przemysław,1,DQ check passed
10,Karol,1,DQ check passed
11,Krzysztof,1,DQ check passed
12,Krzysiek,1,DQ check passed
13,adam,1,DQ check passed
14,artur,1,DQ check passed
15,Andżelika,1,DQ check passed
16,Marta,1,DQ check passed
17,Maria,1,DQ check passed
32,Marcin,1,DQ check passed
